taxon	max_age	min_age
t1	19.7616440034262	12.224549090763
t2	13.2347346042204	13.2347346042204
t3	13.0023475983876	12.7292120212855
t4	11.8028801388382	11.8028801388382
t5	7.91735431004707	7.91735431004707
t6	9.98532871406516	5.38229764084992
t8	8.15983713266249	6.40695362324015
t10	11.4235581105521	0.945349800550918
t12	5.46094956314747	0
t15	8.09398599754467	0
t16	7.7175583944814	7.7175583944814
t17	6.91107073844373	0
t18	8.12483106323931	5.51996999044485
t22	4.6773817725019	4.47270693290304
t25	3.35270342511663	0
