taxon	fad_max	fad_min	lad_max	lad_min
t1	30	20	30	20
t2	30	20	30	20
t3	30	20	30	20
t5	30	20	30	20
t6	30	20	30	20
t7	30	20	30	20
t8	20	10	20	10
t10	20	10	20	10
t11	30	20	20	10
t13	20	10	0	-Inf
t15	10	0	0	-Inf
t16	10	0	10	0
t17	10	0	0	-Inf
t18	10	0	0	-Inf
t19	10	0	10	0
t20	10	0	0	-Inf
t22	10	0	0	-Inf
t23	10	0	0	-Inf
t24	10	0	0	-Inf
t25	10	0	0	-Inf
t26	10	0	0	-Inf
t28	10	0	0	-Inf
t29	10	0	0	-Inf
t30	10	0	0	-Inf
t31	10	0	0	-Inf
t32	10	0	0	-Inf
t33	10	0	0	-Inf
t35	10	0	0	-Inf
t36	10	0	0	-Inf
t37	10	0	0	-Inf
t41	10	0	0	-Inf
t43	10	0	0	-Inf
t44	10	0	10	0
t45	10	0	0	-Inf
t47	10	0	0	-Inf
t49	10	0	10	0
t50	10	0	0	-Inf
t53	10	0	0	-Inf
t55	10	0	0	-Inf
t56	10	0	0	-Inf
t57	10	0	0	-Inf
t58	10	0	0	-Inf
t62	10	0	0	-Inf
t63	10	0	10	0
t64	10	0	0	-Inf
t66	10	0	10	0
t67	10	0	0	-Inf
t68	10	0	0	-Inf
t69	10	0	0	-Inf
t75	10	0	10	0
t78	10	0	0	-Inf
t79	10	0	0	-Inf
t80	10	0	0	-Inf
t82	10	0	10	0
t83	10	0	0	-Inf
t86	10	0	10	0
t87	10	0	0	-Inf
t88	10	0	0	-Inf
t89	10	0	0	-Inf
t92	10	0	0	-Inf
t93	10	0	0	-Inf
t95	10	0	0	-Inf
t96	10	0	10	0
t100	10	0	0	-Inf
t104	10	0	0	-Inf
t105	10	0	0	-Inf
t107	10	0	0	-Inf
t110	10	0	0	-Inf
t112	10	0	0	-Inf
t113	10	0	0	-Inf
t119	10	0	0	-Inf
t120	10	0	0	-Inf
t122	10	0	0	-Inf
t123	10	0	0	-Inf
t126	10	0	0	-Inf
t130	10	0	0	-Inf
t131	10	0	0	-Inf
t132	10	0	10	0
t133	10	0	0	-Inf
t134	10	0	0	-Inf
t136	10	0	0	-Inf
t139	10	0	0	-Inf
t143	10	0	0	-Inf
t150	10	0	10	0
t153	10	0	0	-Inf
t154	10	0	0	-Inf
t158	10	0	0	-Inf
t161	10	0	0	-Inf
t169	10	0	0	-Inf
t170	10	0	0	-Inf
t172	10	0	0	-Inf
t176	10	0	0	-Inf
t179	10	0	0	-Inf
t183	10	0	0	-Inf
t184	10	0	0	-Inf
t185	10	0	0	-Inf
t187	10	0	0	-Inf
t192	10	0	0	-Inf
t193	10	0	0	-Inf
t201	10	0	0	-Inf
t205	10	0	0	-Inf
