taxon	fad	lad
t1	17.8648047226792	9.78853320716913
t3	13.5919896219705	2.12777942603243
t5	10.3275659091929	1.84906429540601
t7	5.82432907992137	5.78294750754816
t8	18.1814894533176	9.84921356150613
t9	11.9022654126561	0.686609506950258
t10	0.693012985790567	0.693012985790567
t11	6.57395334942333	4.2104890943002
t12	3.01056253520174	3.01056253520174
t13	4.73110218560389	4.73110218560389
t15	0.506898036878574	0.506898036878574
t19	9.31291492204215	7.98390896632553
t20	4.89547305161543	4.89547305161543
t21	4.99470329840496	4.99470329840496
t23	5.93898785935438	4.80617658870017
t26	8.64944423424159	4.58814058193205
t30	0.764278512006236	0.764278512006236
t31	2.75308575682387	0.738295953559831
t35	0.0629186753576576	0.0629186753576576
t38	4.99265488420369	4.99265488420369
t40	11.8064048671275	11.8064048671275
t44	7.07715171106847	6.33428216939858
t45	5.54325438785699	5.54325438785699
t46	4.9292786137124	4.9292786137124
t48	5.44016463710062	0.308685725354032
t49	12.5932303686612	11.8813140855778
t51	13.7231727150725	13.7231727150725
t52	12.0754574656825	12.0754574656825
t54	2.4641552860074	1.48878381098636
t56	5.60355565089534	5.60355565089534
t60	4.53905781843842	3.98077135242353
t62	0.757813266277683	0.757813266277683
t68	6.75930663505635	1.10781764822834
t69	2.11009039151706	2.11009039151706
t72	2.27949670112399	2.27949670112399
t73	3.00333963260519	3.00333963260519
t74	2.36180706222569	2.11785631503585
t75	0.379135712435456	0.379135712435456
t80	12.3762696414909	12.3762696414909
t81	1.92879581123994	1.92879581123994
t82	2.44240045902431	1.32855513953715
t85	4.82869004816743	4.82869004816743
t89	5.1369178980906	1.23911694483357
t90	3.00083708822173	0.338157448406395
t95	0.843775157697177	0.843775157697177
t96	2.03535481636132	0.282201364642933
t97	0.859712838512216	0.859712838512216
t99	0.32240272041868	0.32240272041868
t102	4.64483588160848	4.64483588160848
t104	7.08665512683204	1.47676530799574
t105	7.75470906625893	3.69845184958303
t107	0.364290928121864	0.364290928121864
t108	1.40141810004104	0.0882831279384035
t110	3.85191847367174	3.85191847367174
t111	0.500992846681729	0.500992846681729
t117	2.33838693120896	2.33838693120896
t121	0.670497149984627	0.670497149984627
t124	3.78342831825566	3.78342831825566
t125	0.065139040864377	0.065139040864377
t127	6.25159976769774	0.559568546427705
t128	4.72172113293476	4.72172113293476
t129	2.76259954307175	0.462458668300968
t130	0.902601753102694	0.902601753102694
t131	1.49522008022136	0.958500550917535
t133	1.41900665166534	1.41900665166534
t135	1.02502212603655	1.02502212603655
t137	1.95302884805584	1.38010961575286
t143	0.942595248465317	0.942595248465317
t147	0.324380346369335	0.324380346369335
t152	3.29725958366306	0.0101579096069919
t153	2.14477516195178	2.14477516195178
